Date,Open,High,Low,Close,Adj Close,Volume,Currency
11-09-18,198.177002,198.505997,180.595993,185.065994,185.065994,1568900000,Ethereum
12-09-18,185.423004,185.587006,170.257004,183.330994,183.330994,1874850000,Ethereum
13-09-18,183.679001,214.001999,183.679001,211.354004,211.354004,2330720000,Ethereum
14-09-18,212.669006,222.794006,204.871002,211.748993,211.748993,2232190000,Ethereum
15-09-18,209.813995,226.604004,209.606003,223.074005,223.074005,1670490000,Ethereum
16-09-18,222.802994,222.802994,211.117996,220.589005,220.589005,1502260000,Ethereum
17-09-18,221.582001,224.261002,195.307999,197.875,197.875,2019910000,Ethereum
18-09-18,197.095001,213.356995,195.934006,209.975006,209.975006,1800640000,Ethereum
19-09-18,209.472,213.871002,201.656006,209.968994,209.968994,1733330000,Ethereum
20-09-18,210.287994,224.817993,207.789001,224.591003,224.591003,1782070000,Ethereum
21-09-18,225.251007,248.388,221.567001,246.584,246.584,2836200000,Ethereum
22-09-18,247.337006,251.195999,233.809998,240.479996,240.479996,1921820000,Ethereum
23-09-18,240.992004,247.464005,237.856995,244.330002,244.330002,1693470000,Ethereum
24-09-18,244.843994,245.108002,227.490005,228.729996,228.729996,1748740000,Ethereum
25-09-18,228.326996,228.326996,206.490005,218.505005,218.505005,2120360000,Ethereum
26-09-18,218.647003,221.436996,209.113007,215.847,215.847,1756100000,Ethereum
27-09-18,215.440002,230.606995,212.654007,228.494003,228.494003,2030320000,Ethereum
28-09-18,229.041,231.748001,218.669006,222.401993,222.401993,2018120000,Ethereum
29-09-18,221.705002,234.014008,216.078003,231.634995,231.634995,2208720000,Ethereum
30-09-18,231.328995,236.985992,228.445007,232.848007,232.848007,1765560000,Ethereum
01-10-18,233.220001,234.145004,226.945007,230.768005,230.768005,1597500000,Ethereum
02-10-18,231.100006,231.167007,225.837997,227.181,227.181,1542080000,Ethereum
03-10-18,226.406998,226.457993,213.970993,220.488998,220.488998,1683930000,Ethereum
04-10-18,220.445999,226.147995,220.089996,222.218002,222.218002,1479500000,Ethereum
05-10-18,222.266998,228.319,220.957001,227.600998,227.600998,1547330000,Ethereum
06-10-18,227.552002,227.925995,224.246002,225.119995,225.119995,1505070000,Ethereum
07-10-18,225.434998,226.369995,222.996002,226.119003,226.119003,1470480000,Ethereum
08-10-18,226.509003,230.764999,224.557007,229.255005,229.255005,1470740000,Ethereum
09-10-18,229.710007,230.160995,226.401001,227.981995,227.981995,1405130000,Ethereum
10-10-18,227.615005,227.707001,224.494995,225.768997,225.768997,1384040000,Ethereum
11-10-18,225.610001,225.610001,189.283005,189.498993,189.498993,2167620000,Ethereum
12-10-18,188.707001,199.401001,188.707001,196.727005,196.727005,1487900000,Ethereum
13-10-18,196.363998,201.279007,196.363998,199.841003,199.841003,1167610000,Ethereum
14-10-18,199.690994,201.826996,195.242996,195.714996,195.714996,1169260000,Ethereum
